trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 1.0, 'e': 0.418951549247639}",25,0,-20.751075912217743,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 1.0, 'e': 0.4147829116815814}",25,20,8.878040614226705,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 1.0, 'e': 0.4106557527523455}",25,0,-6.068725872033117,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 1.0, 'e': 0.4065696597405991}",20,1,-69.4594073762418,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 1.0, 'e': 0.40252422403363597}",20,0,7.1341314662861635,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 1.0, 'e': 0.39851904108451414}",20,15,6.645631773499231,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 1.0, 'e': 0.3945537103716011}",30,3,-61.40710734409665,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 1}",1
95,False,"{'a': 1.0, 'e': 0.3906278353585211}",30,0,25.611037798865905,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 1.0, 'e': 0.3867410234545012}",35,0,-85.85613488902648,"{0: 31, 1: 1, 2: 0, 3: 0, 4: 3}",0
97,False,"{'a': 1.0, 'e': 0.38289288597511206}",35,9,2.514925869192341,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 1.0, 'e': 0.37908303810339883}",20,4,24.325127768551294,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 1.0, 'e': 0.37531109885139957}",20,14,-1.8576618363291568,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 1.0, 'e': 0.3715766910220457}",25,0,-39.061739907367134,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 1.0, 'e': 0.36787944117144233}",25,17,13.809238616227592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 1.0, 'e': 0.3642189795715233}",20,7,11.393042448998498,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 1.0, 'e': 0.3605949401730783}",25,0,-17.592763361787238,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 1.0, 'e': 0.3570069605691474}",30,0,-4.229100895357934,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 1.0, 'e': 0.35345468195878016}",25,15,6.973041456387135,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 1.0, 'e': 0.3499377491111553}",20,7,-19.217305144754803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 1.0, 'e': 0.3464558103300574}",25,0,-102.6544649085013,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
108,False,"{'a': 1.0, 'e': 0.34300851741870664}",25,0,17.363944354122292,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 1.0, 'e': 0.3395955256449391}",20,0,5.871210255088012,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 1.0, 'e': 0.3362164937067333}",30,21,17.552531159559553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 1.0, 'e': 0.33287108369807955}",25,20,13.181317581413154,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 1.0, 'e': 0.32955896107518906}",20,0,-49.29602455117875,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
113,False,"{'a': 1.0, 'e': 0.32627979462303947}",20,0,19.247458729835785,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 1.0, 'e': 0.3230332564222529}",25,12,14.799521914794429,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 1.0, 'e': 0.31981902181630384}",20,3,-14.98504389844108,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 1.0, 'e': 0.31663676937905316}",20,3,21.90665573264131,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
